"","Arg","Bra","Chi","Col","Dom","Par","Per","Ven","Uru"
"0",1727,2692,999,2016,3374,3059,2110,1800,1404
"1",291,526,190,526,456,492,688,338,251
"5",108,119,79,114,136,138,248,107,94
"10",241,343,180,387,319,312,381,521,228
"15",393,616,307,748,566,517,559,1009,384
"20",555,912,457,1135,859,736,763,1476,553
"25",734,1242,633,1498,1191,974,1001,1861,737
"30",925,1532,818,1697,1497,1201,1249,2009,915
"35",1193,1837,1038,1784,1790,1468,1529,2080,1162
"40",1679,2311,1383,1950,2198,1907,1924,2344,1613
"45",2520,3039,1964,2331,2822,2612,2528,2932,2395
"50",3843,4071,2900,3042,3763,3685,3442,3907,3660
"55",5759,5502,4346,4247,5153,5237,4796,5362,5552
"60",8319,7401,6539,6131,7137,7406,6727,7327,8086
"65",11381,9683,9630,8828,9598,10302,9357,9666,11084
"70",14707,12435,13727,12601,12415,13828,12928,12425,14362
"75",17027,14984,17817,16508,15017,16708,16471,14900,16840
"80",16002,15241,19010,17751,15304,16378,17351,14998,16278
"85",12596,15514,17983,16706,16405,13040,15948,14938,14402
